topK,alpha,beta,normalize_similarity,implicit,iteration,RECALL,MAP
8,0.31075307961201265,0.25730831970358403,True,True,267,0.042396400947266835,0.042396400947266835
22,0.3059210199316425,0.2508074651313614,True,False,268,0.042365511704031515,0.042365511704031515
13,0.31660464010779604,0.24685076826331098,True,True,269,0.04280712295331957,0.04280712295331957
9,0.3001666973514944,0.2538821931843116,True,True,270,0.04267943419048069,0.04267943419048069
10,0.32634750677474605,0.2409073152645788,True,True,271,0.042729495795400536,0.042729495795400536
11,0.30802326887658177,0.247118735092435,True,True,272,0.042924184698445236,0.042924184698445236
12,0.308789567171781,0.2498655088695544,True,True,273,0.04284478693443537,0.04284478693443537
11,0.3052022946730686,0.2465849617471404,True,True,274,0.042898067413317524,0.042898067413317524
12,0.32167949361113707,0.2551999734506853,True,True,275,0.042864300794302604,0.042864300794302604
10,0.3041982067659737,0.2515553773273411,True,True,276,0.04269601882996012,0.04269601882996012
13,0.3139768351901552,0.24589267434966833,True,True,277,0.04279110973159186,0.04279110973159186
11,0.28837623373519405,0.2590764298996989,True,True,278,0.042814199742398286,0.042814199742398286
9,0.31154101930119016,0.2412024567727277,True,True,279,0.04264698622781615,0.04264698622781615
11,0.29724343833635175,0.24808787827613465,False,True,280,0.035150697625561125,0.035150697625561125
12,0.2794657323374976,0.24310657635160102,True,True,281,0.042888658743906946,0.042888658743906946
10,0.300235639053395,0.25309750932435343,True,True,282,0.04268631825286195,0.04268631825286195
14,0.285610343788797,0.23878706168846564,True,True,283,0.04280289761771587,0.04280289761771587
11,0.307069538355376,0.2457661838103976,True,True,284,0.04289731228532221,0.04289731228532221
13,0.29518716352942925,0.25003608934416455,True,True,285,0.04278404421308055,0.04278404421308055
12,0.2919822054629012,0.2617985648189505,True,True,286,0.04285689828583509,0.04285689828583509
11,0.3026126576309308,0.2401894833464962,True,True,287,0.0429165128234242,0.0429165128234242
10,0.3158974794540034,0.23929476456173074,True,False,288,0.04275134266265626,0.04275134266265626
12,0.30958910485327124,0.2316116509872001,True,True,289,0.04281975951314576,0.04281975951314576
9,0.30124009828661347,0.24643846526489663,True,True,290,0.04265179087056836,0.04265179087056836
10,0.30467863544548335,0.2565614424136555,True,True,291,0.04265490943648343,0.04265490943648343
11,0.282387265911433,0.23937857193616258,True,True,292,0.04290245842625751,0.04290245842625751
13,0.2919168094058991,0.25034606605112225,True,True,293,0.04279935302436484,0.04279935302436484
12,0.3193458889066763,0.2439451643299308,True,True,294,0.04286166686277262,0.04286166686277262
11,0.30341633563096143,0.2369288415095359,True,True,295,0.04290419747476016,0.04290419747476016
10,0.2887190809254974,0.2538908703173788,True,True,296,0.04271791979593785,0.04271791979593785
8,0.2727923374752889,0.24139934991025833,True,True,297,0.04247255391500993,0.04247255391500993
13,0.31096039735974257,0.2468126325413537,True,True,298,0.042772476103014836,0.042772476103014836
11,0.2953525607911439,0.24997505926270477,True,True,299,0.04291709100351614,0.04291709100351614
12,0.29599302164024355,0.25259000221179834,False,True,300,0.03501799458742192,0.03501799458742192
11,0.2836934959959693,0.2430507177306875,True,True,301,0.04291200572364321,0.04291200572364321
9,0.28480502802803664,0.2342085632378768,True,True,302,0.04260557365608455,0.04260557365608455
11,0.27445692813432654,0.24926563797614026,True,True,303,0.04286359863797291,0.04286359863797291
10,0.2811273763739212,0.24411052684417905,True,True,304,0.0427055424591547,0.0427055424591547
11,0.29034520951897924,0.256432014693851,True,True,305,0.04282930342936139,0.04282930342936139
11,0.2874754434173056,0.2389331268587971,True,True,306,0.042907119932807734,0.042907119932807734
10,0.2789056208510131,0.24484230326750905,True,True,307,0.04271931621920074,0.04271931621920074
12,0.29562687130845017,0.22984932529686933,True,False,308,0.042877591047020325,0.042877591047020325
9,0.3010551508229347,0.26632471146315134,True,True,309,0.04264259634193286,0.04264259634193286
11,0.2854328096322627,0.2503802028350707,True,True,310,0.042910884302217296,0.042910884302217296
10,0.2759230190197079,0.25220521044998856,True,True,311,0.04272827293887068,0.04272827293887068
14,0.2851542187214571,0.2589174362029647,True,True,312,0.04282202827830177,0.04282202827830177
12,0.2821879222940512,0.24951648185132136,True,True,313,0.04288847841483344,0.04288847841483344
